Chroma,Tempo,Spectral_Centroid,Zero_Crossing_Rate,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Rhythmic_Regularity,Label,Cluster,Predicted_Label,PCA1,PCA2
0.19309089,135.99917763,754.4379723986023,0.0444328378966718,-403.69092,163.88794,42.403137,11.1887245,7.168746,-1.3457296,-13.490255,-18.829643,-13.286389,-5.4366293,1.2229857,7.4550977,8.486434,0.0053415626312027,classical,0,classical,-3.1047678731604518,0.47799508254708467
0.20479448,129.19921875,595.0520740796651,0.0424392747436145,-396.50287,213.55324,28.282196,-12.137909,9.414215,-5.326946,-20.565393,-17.678328,-16.106182,-14.675182,-9.658862,-5.158213,-2.1217792,0.0035782333020529,classical,0,classical,-4.595157830250902,-1.656750144436434
0.25266996,99.38401442,810.193530102206,0.0396369485294117,-297.10608,177.40216,1.4152033,26.162601,-0.16173494,0.049187485,-1.6303071,-6.7619243,-4.2438455,-4.23167,-7.244947,-3.7851517,-1.1933625,0.0026726568415341,classical,0,classical,-2.1207032458167894,-0.1815087744584305
0.2730267,151.99908088,1807.129183735067,0.0901676331511222,-296.7974,106.309975,-13.569246,37.93494,-0.17392129,10.796032,-1.3976598,6.526999,-4.3529153,-1.2177521,-0.22429886,5.485637,3.121937,0.0021263960881712,classical,1,disco,0.39943748675198987,0.6964910067956631
0.24994875,123.046875,638.5233495839558,0.0444086505901702,-329.50446,228.59395,18.265734,-10.656871,7.299429,-5.523869,-9.450085,-6.0704126,-6.7704887,-5.4567137,-6.32131,-8.497224,-7.683822,0.0034135657413837,classical,0,classical,-3.724220017924031,-0.6414796293966533
0.3328749,103.359375,1693.7132091277415,0.0857141453415247,-219.52586,126.79402,-24.527048,30.253553,-0.91912484,0.044397384,-5.811876,0.80574495,-5.7449636,-1.2712034,-5.9521327,1.497247,-0.2189478,0.0023556224626161,classical,0,classical,0.0926439111603231,-0.06121371946200212
0.29102805,83.35433468,922.3570335257084,0.0367382510158668,-331.29794,165.32549,-3.3842819,26.135557,3.3713386,-0.5318794,-10.304285,-2.685786,-2.6062486,-8.605011,-10.826312,-10.108303,-8.49603,0.001742242102103,classical,0,classical,-2.1942049587284056,-1.1196430137613627
0.29401,56.17357337,554.3147929853843,0.0238056005708204,-508.31787,152.8558,52.809544,14.036998,10.788978,15.992683,13.963971,3.5043488,-6.5566072,-6.1441107,3.102479,12.979469,16.593002,0.0040606712840205,classical,0,classical,-1.9540986527396207,3.097997038957174
0.2610011,143.5546875,825.2787345097863,0.0417888629547213,-338.2478,168.1057,22.479477,23.482119,6.619753,-8.011676,-6.7073607,-3.3189394,-10.731708,-13.943375,-11.568424,-6.863368,-8.22479,0.0021092417075083,classical,0,classical,-2.996332147074064,-1.2631530092237004
0.27783424,103.359375,585.1459575557885,0.0287511488970588,-374.83905,179.91241,50.354683,36.049583,20.363552,11.632363,5.807124,-0.91871405,-8.036066,-7.5894175,-12.428032,-8.1555195,1.8128103,0.002616280856828,classical,0,classical,-2.805567018829179,0.6262020117682707
0.19950145,172.265625,554.8692974660413,0.0392953028250774,-376.7149,183.01764,44.316513,-1.3162309,6.932689,-4.326346,-19.986359,-18.749567,-12.6705,-8.21846,-5.9908724,-10.397296,-15.281117,0.0042767702995193,classical,0,classical,-4.246895280110457,-1.8471210482288514
0.20978107,123.046875,573.4691774385477,0.0408791934742647,-392.74185,194.93648,38.661602,1.8068799,7.841448,-4.8193693,-12.37025,-10.421722,-7.3304267,-6.7688146,-10.029512,-9.235778,-4.9579997,0.0050391346865992,classical,0,classical,-3.9036706928537623,-0.6492148956121184
0.2540351,129.19921875,533.2776804878127,0.0297280893237229,-365.5528,207.9935,24.82032,4.8215923,9.593547,-0.81316656,0.7448383,-1.3634192,-5.9156365,-13.234693,-15.543998,-12.28404,-9.609199,0.002747302642163,classical,0,classical,-3.840629743165494,-0.805931763130881
0.27195483,129.19921875,1599.4013648241728,0.0728578360826238,-223.93039,112.722946,-13.303569,21.541464,5.1631694,-3.2835298,-9.132893,0.7089561,-5.151876,-1.3959019,-12.848098,-7.5021043,-2.4464726,0.0018472301014575,classical,0,classical,-0.9841297052467723,-0.6157379648327355
0.22944136,103.359375,543.4073662186624,0.0384207805243808,-352.2189,199.66257,34.324593,7.909014,7.8201704,3.0475533,0.2058971,-4.480444,-7.3012643,-8.976442,-7.8302603,-4.9056816,-3.843121,0.0032891402582779,classical,0,classical,-3.2654563531627256,-0.016396218950967004
0.24442205,287.109375,510.850250199401,0.0325769005176083,-428.21613,155.34676,51.993984,7.0705967,5.4557214,0.6902378,-6.475051,-6.31222,-5.436386,-7.906377,-10.300733,-9.189562,-6.9849086,0.0037651496880263,classical,0,classical,-3.853924099345434,-0.6326854267041719
0.25236058,95.703125,1505.3574604811247,0.0982227015661253,-268.21857,135.68166,-34.056377,25.616009,-12.971723,17.903263,-9.99086,5.634088,-14.143673,7.4931846,-3.9764395,8.258308,-1.3336012,0.0023694162186428,classical,1,disco,1.1385401810065918,-1.716874961744071
