Chroma,Tempo,Spectral_Centroid,Zero_Crossing_Rate,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Rhythmic_Regularity,Segment_File_Name,Label,Cluster,Predicted_Label,PCA1,PCA2
0.29001153,52.734375,387.4545611181904,0.0222708403879643,-655.2289,190.66501,90.21084,29.903135,13.788962,7.8306694,-0.18609147,-5.653288,-7.9517236,-8.352102,-6.7257924,-4.5296383,-4.9337816,0.004886093,"Alexander Scriabin, Julius Asal - PROLOGUE (Quasi Niente from Piano Sonata No. 1 in F Minor, Op. 6- IV. Funebre) - Upright Version_segment_0_30.wav",classical,2,classical,-3.911798988743412,-3.548634478844522
0.30447358,52.734375,548.4121133941045,0.0263290169069272,-692.3786,167.57927,82.46259,31.434565,15.116474,6.8004208,-1.2732686,-6.182574,-7.441595,-5.917597,-2.990346,-1.6323488,-3.5239544,0.004309445,"Alexander Scriabin, Julius Asal - PROLOGUE (Quasi Niente from Piano Sonata No. 1 in F Minor, Op. 6- IV. Funebre) - Upright Version_segment_30_60.wav",classical,2,classical,-3.214636884052909,-3.4864206584229276
0.26882383,50.66636029,585.0989799977846,0.0301234006143575,-670.3862,181.33618,71.61213,16.467184,9.495629,6.4367185,-0.5446732,-6.04464,-9.137355,-8.252408,-4.8746657,-2.7575624,-3.2686498,0.002567705,"Alexander Scriabin, Julius Asal - PROLOGUE (Quasi Niente from Piano Sonata No. 1 in F Minor, Op. 6- IV. Funebre) - Upright Version_segment_60_90.wav",classical,2,classical,-3.8719805007740753,-2.8874876117757746
0.22730006,83.35433468,512.1517911868224,0.0342862628192724,-509.2918,168.32901,75.18746,18.447447,3.703267,0.28031301,-3.6120574,-7.1151295,-9.890867,-10.631668,-8.570648,-6.0164876,-6.0072875,0.006108578,"Alexander Scriabin, Julius Asal - Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version_segment_0_30.wav",classical,2,classical,-4.6749149010960505,-1.8454928493479859
0.22683495,71.77734375,551.8900457436582,0.0328229307759287,-495.6135,154.80325,68.51103,18.988989,8.033431,3.2012854,-3.530498,-7.124433,-8.624583,-8.915964,-6.720268,-4.661122,-5.863817,0.0057927743,"Alexander Scriabin, Julius Asal - Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version_segment_30_60.wav",classical,2,classical,-4.113951681055422,-2.029609687693585
0.20604393,92.28515625,515.7291658071412,0.0366566188564241,-499.27292,179.55296,67.05715,9.675875,3.0895033,0.9309545,-5.387186,-8.22908,-10.372166,-12.507695,-9.358166,-2.5994253,-0.19858648,0.0054175104,"Alexander Scriabin, Julius Asal - Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version_segment_60_90.wav",classical,2,classical,-4.712603800150554,-1.8663135534414224
0.3689818,129.19921875,1248.2082878697663,0.0539850379406005,-641.1365,124.077705,59.41802,25.067633,14.891488,7.9251485,2.9639835,0.40207237,-2.8250284,-5.296606,-4.3438544,-0.8908703,1.950749,0.009388479,"Alexander Scriabin, Julius Asal - Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version_segment_90_120.wav",classical,2,classical,-1.5266758092992683,-2.8675782944219925
0.2048022,129.19921875,594.8694912013876,0.0424661075367647,-430.18652,213.43683,28.332558,-12.119033,9.370516,-5.3380375,-20.536718,-17.660734,-16.12222,-14.687549,-9.6606865,-5.165295,-2.1217275,0.0035808003,"Anja Lechner, François Couturier - Vague  E la nave va_segment_0_30.wav",classical,2,classical,-6.585334943862668,-0.433899636871136
0.20839536,92.28515625,783.768111322775,0.0471040235584365,-370.01736,179.93404,8.9526825,5.4756393,1.7150847,-9.731984,-23.562204,-19.501284,-15.843172,-14.924167,-11.042046,-4.3530607,-9.307504,0.0023481182,"Anja Lechner, François Couturier - Vague  E la nave va_segment_30_60.wav",classical,2,classical,-6.6192363139599335,1.1121202176826324
0.20527528,112.34714674,860.2536838441374,0.0463765147300696,-350.42822,158.97554,7.11114,13.580042,-0.42292506,-10.644902,-18.938652,-16.092447,-14.505508,-18.839375,-12.354851,-9.297314,-13.322539,0.0022286884,"Anja Lechner, François Couturier - Vague  E la nave va_segment_60_90.wav",classical,2,classical,-6.690417964620732,1.4282967777648465
