Chroma,Tempo,Spectral_Centroid,Zero_Crossing_Rate,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Rhythmic_Regularity,Segment_File_Name,Label
0.29001153,[52.734375],387.4545611181904,0.022270840387964397,-655.2289,190.66501,90.21084,29.903135,13.788962,7.8306694,-0.18609147,-5.653288,-7.9517236,-8.352102,-6.7257924,-4.5296383,-4.9337816,0.004886093,"Alexander Scriabin, Julius Asal - PROLOGUE (Quasi Niente from Piano Sonata No. 1 in F Minor, Op. 6- IV. Funebre) - Upright Version_segment_0_30.wav",classical
0.30447358,[52.734375],548.4121133941045,0.026329016906927245,-692.3786,167.57927,82.46259,31.434565,15.116474,6.8004208,-1.2732686,-6.182574,-7.441595,-5.917597,-2.990346,-1.6323488,-3.5239544,0.004309445,"Alexander Scriabin, Julius Asal - PROLOGUE (Quasi Niente from Piano Sonata No. 1 in F Minor, Op. 6- IV. Funebre) - Upright Version_segment_30_60.wav",classical
0.26882383,[50.66636029],585.0989799977846,0.030123400614357584,-670.3862,181.33618,71.61213,16.467184,9.495629,6.4367185,-0.5446732,-6.04464,-9.137355,-8.252408,-4.8746657,-2.7575624,-3.2686498,0.002567705,"Alexander Scriabin, Julius Asal - PROLOGUE (Quasi Niente from Piano Sonata No. 1 in F Minor, Op. 6- IV. Funebre) - Upright Version_segment_60_90.wav",classical
0.22730006,[83.35433468],512.1517911868224,0.034286262819272446,-509.2918,168.32901,75.18746,18.447447,3.703267,0.28031301,-3.6120574,-7.1151295,-9.890867,-10.631668,-8.570648,-6.0164876,-6.0072875,0.006108578,"Alexander Scriabin, Julius Asal - Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version_segment_0_30.wav",classical
0.22683495,[71.77734375],551.8900457436582,0.032822930775928794,-495.6135,154.80325,68.51103,18.988989,8.033431,3.2012854,-3.530498,-7.124433,-8.624583,-8.915964,-6.720268,-4.661122,-5.863817,0.0057927743,"Alexander Scriabin, Julius Asal - Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version_segment_30_60.wav",classical
0.20604393,[92.28515625],515.7291658071412,0.03665661885642415,-499.27292,179.55296,67.05715,9.675875,3.0895033,0.9309545,-5.387186,-8.22908,-10.372166,-12.507695,-9.358166,-2.5994253,-0.19858648,0.0054175104,"Alexander Scriabin, Julius Asal - Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version_segment_60_90.wav",classical
0.3689818,[129.19921875],1248.2082878697663,0.05398503794060052,-641.1365,124.077705,59.41802,25.067633,14.891488,7.9251485,2.9639835,0.40207237,-2.8250284,-5.296606,-4.3438544,-0.8908703,1.950749,0.009388479,"Alexander Scriabin, Julius Asal - Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version_segment_90_120.wav",classical
0.2048022,[129.19921875],594.8694912013876,0.042466107536764705,-430.18652,213.43683,28.332558,-12.119033,9.370516,-5.3380375,-20.536718,-17.660734,-16.12222,-14.687549,-9.6606865,-5.165295,-2.1217275,0.0035808003,"Anja Lechner, François Couturier - Vague  E la nave va_segment_0_30.wav",classical
0.20839536,[92.28515625],783.768111322775,0.047104023558436535,-370.01736,179.93404,8.9526825,5.4756393,1.7150847,-9.731984,-23.562204,-19.501284,-15.843172,-14.924167,-11.042046,-4.3530607,-9.307504,0.0023481182,"Anja Lechner, François Couturier - Vague  E la nave va_segment_30_60.wav",classical
0.20527528,[112.34714674],860.2536838441374,0.04637651473006966,-350.42822,158.97554,7.11114,13.580042,-0.42292506,-10.644902,-18.938652,-16.092447,-14.505508,-18.839375,-12.354851,-9.297314,-13.322539,0.0022286884,"Anja Lechner, François Couturier - Vague  E la nave va_segment_60_90.wav",classical
0.21634166,[161.49902344],804.3758632691662,0.041180778952205885,-331.04514,164.28432,5.893348,9.610707,5.0929866,-13.627192,-19.470263,-16.222885,-17.40905,-17.216797,-11.291373,-9.784059,-13.298151,0.0020909351,"Anja Lechner, François Couturier - Vague  E la nave va_segment_90_120.wav",classical
0.1964583,[117.45383523],842.3364632978851,0.044251433097910214,-335.21255,159.42215,9.247437,6.3514795,2.2166698,-13.575108,-19.81831,-18.006023,-17.815659,-16.560003,-11.762744,-8.239068,-9.763985,0.0021720733,"Anja Lechner, François Couturier - Vague  E la nave va_segment_120_150.wav",classical
0.22063617,[112.34714674],762.8464901367222,0.03878888109520124,-348.90427,171.33173,6.714041,10.610626,6.781476,-14.998617,-19.560606,-15.568789,-16.513641,-17.676994,-12.105567,-10.047135,-13.8703375,0.0020635247,"Anja Lechner, François Couturier - Vague  E la nave va_segment_150_180.wav",classical
0.20151472,[123.046875],566.5972433888252,0.041316076697948914,-481.75977,176.19897,50.384686,1.0195184,-0.33882692,-6.975264,-13.963221,-14.373351,-12.336809,-8.547268,-4.024094,-0.85490733,-1.0596852,0.0048282663,"Anja Lechner, François Couturier - Vague  E la nave va_segment_180_210.wav",classical
0.2406978,[117.45383523],483.33256718584494,0.03431989829237616,-436.445,193.49222,52.784782,4.4696,7.728929,1.3133142,-7.300098,-9.504532,-9.57723,-8.337464,-3.9579291,1.568313,2.3314881,0.0047349078,"Anja Lechner, François Couturier - Vague  E la nave va_segment_210_240.wav",classical
0.22921044,[117.45383523],773.3130837765008,0.04553940716911765,-355.6419,165.4285,25.326874,11.7044735,0.5001053,-6.3611035,-7.772736,-5.93519,-9.844755,-9.900301,-7.662339,-6.7107334,-7.2474875,0.0026228626,"Anja Lechner, François Couturier - Vague  E la nave va_segment_240_270.wav",classical
0.23955807,[129.19921875],627.3103892369302,0.03703945856714396,-358.86783,179.15076,33.614273,11.685439,7.1959248,-2.0321465,-6.843567,-8.419457,-11.638309,-13.083545,-8.654513,-3.9110806,-4.904615,0.003393986,"Anja Lechner, François Couturier - Vague  E la nave va_segment_270_300.wav",classical
0.25632843,[135.99917763],513.3592778457976,0.03841095443111455,-360.3318,199.95598,43.458954,1.1663193,5.8502,0.021165688,-4.849988,-6.7551866,-8.706673,-9.224299,-6.398009,-2.0135045,-0.9516623,0.0044416543,"Anja Lechner, François Couturier - Vague  E la nave va_segment_300_330.wav",classical
0.2122348,[123.046875],739.0428177136573,0.045057172745743036,-353.97177,173.55019,25.31748,12.538902,6.8791385,-6.3011575,-9.773158,-6.9442377,-8.906554,-11.69095,-8.906062,-5.994108,-6.1571016,0.0029795768,"Anja Lechner, François Couturier - Vague  E la nave va_segment_330_360.wav",classical
0.19072104,[123.046875],664.9586909184958,0.04189430449400155,-386.76312,163.30635,35.0569,12.309492,2.6125314,-8.186223,-8.741159,-10.430684,-13.133611,-10.914237,-4.9693303,-0.2866331,-1.6738374,0.0038727848,"Anja Lechner, François Couturier - Vague  E la nave va_segment_360_390.wav",classical
0.36569798,[69.83741554],838.92503113574,0.029234635202508224,-519.8747,123.98106,48.00149,13.102177,9.564989,5.367018,-0.37220222,-2.4229658,-3.7491913,-5.0859976,-3.2813015,1.6182745,4.4996367,0.0056712623,"Anja Lechner, François Couturier - Vague  E la nave va_segment_390_420.wav",classical
0.2539194,[99.38401442],817.1059388751241,0.039617674269543345,-382.39734,176.07057,1.5959324,25.876705,0.1881592,0.0046549225,-1.3973178,-6.8247404,-4.1731668,-4.0356097,-7.141041,-3.5833974,-1.0831441,0.0026651404,"Anonymous, Miloš Karadaglić, English Chamber Orchestra, Paul Watkins - Jeux Interdits- Spanish Romance (Arr. for Guitar and Orchestra)_segment_0_30.wav",classical
0.26441997,[107.66601562],709.0934904504417,0.038692509795859135,-331.96155,199.17255,-0.89602405,31.465242,-3.4040377,1.101166,-3.420283,-6.587466,-2.7130284,-1.5213794,-3.260287,-2.1761348,-5.5393286,0.0028361913,"Anonymous, Miloš Karadaglić, English Chamber Orchestra, Paul Watkins - Jeux Interdits- Spanish Romance (Arr. for Guitar and Orchestra)_segment_30_60.wav",classical
0.2546724,[107.66601562],724.2317016663177,0.039059476586687306,-336.8558,193.76076,4.2401814,32.12223,-4.269468,0.13514067,-1.4553542,-5.160844,-2.1797945,-3.6304936,-6.888442,-4.016519,-6.81798,0.0027679182,"Anonymous, Miloš Karadaglić, English Chamber Orchestra, Paul Watkins - Jeux Interdits- Spanish Romance (Arr. for Guitar and Orchestra)_segment_60_90.wav",classical
0.24886522,[112.34714674],817.3853634135954,0.04260329491582817,-304.31027,184.46265,2.944689,28.765528,-5.071751,-2.985223,-4.1323466,-5.1894016,-2.804984,-3.033793,-7.0125504,-4.705133,-8.015155,0.002583588,"Anonymous, Miloš Karadaglić, English Chamber Orchestra, Paul Watkins - Jeux Interdits- Spanish Romance (Arr. for Guitar and Orchestra)_segment_90_120.wav",classical
0.22956581,[92.28515625],678.3563994158014,0.037333485511803405,-372.69363,189.41777,14.317965,25.901104,2.4319534,-2.3821228,-1.4091407,-6.5883594,-4.0334086,-3.0460048,-6.1189218,-5.134013,-5.405312,0.0029173393,"Anonymous, Miloš Karadaglić, English Chamber Orchestra, Paul Watkins - Jeux Interdits- Spanish Romance (Arr. for Guitar and Orchestra)_segment_120_150.wav",classical
0.34917876,[99.38401442],645.3894494661222,0.02571904327109133,-452.71313,161.6011,21.49629,25.41957,8.347538,2.81455,3.859473,0.36875117,2.5392096,-0.7251636,-3.1319094,-1.4836687,-1.3481932,0.0028641287,"Anonymous, Miloš Karadaglić, English Chamber Orchestra, Paul Watkins - Jeux Interdits- Spanish Romance (Arr. for Guitar and Orchestra)_segment_150_180.wav",classical
0.7428321,[161.49902344],1041.581936967073,0.011487458881578948,-850.8922,97.421715,45.603992,20.604687,33.801872,28.40065,20.506973,14.921338,13.751082,16.403725,11.306759,10.828032,2.7094374,0.019003572,"Anonymous, Miloš Karadaglić, English Chamber Orchestra, Paul Watkins - Jeux Interdits- Spanish Romance (Arr. for Guitar and Orchestra)_segment_180_210.wav",classical
0.3264055,[129.19921875],1429.5610487669635,0.06504722571594428,-245.43895,131.36707,-5.292689,38.083492,3.8078942,5.1820865,1.1943922,6.9011216,3.6125276,4.2029,-6.941511,-10.250212,-10.981564,0.00340005,"Antonio Vivaldi - 12 Violin Concertos, Op.8 'Il cimento dell'armonia e dell' invenzione'  Concerto No. 3 in F Major for solo violin, 'L'Autunno' - RV293- 1. Allegro_segment_0_30.wav",classical
0.2632128,[123.046875],1472.6339048252883,0.06999277404218267,-274.728,130.58514,-18.766935,34.964783,0.8509803,-0.80833185,-2.8102765,6.116322,-0.622246,1.0476501,-10.118976,-12.606246,-13.2775345,0.0036433155,"Antonio Vivaldi - 12 Violin Concertos, Op.8 'Il cimento dell'armonia e dell' invenzione'  Concerto No. 3 in F Major for solo violin, 'L'Autunno' - RV293- 1. Allegro_segment_30_60.wav",classical
0.27091843,[129.19921875],1622.0701056623814,0.08487325851393189,-236.59676,121.828255,-16.046736,32.747334,-2.244561,1.6700288,-3.4606147,5.6149254,-2.300522,1.0217652,-6.8001432,-5.499447,-7.8442383,0.0025558025,"Antonio Vivaldi - 12 Violin Concertos, Op.8 'Il cimento dell'armonia e dell' invenzione'  Concerto No. 3 in F Major for solo violin, 'L'Autunno' - RV293- 1. Allegro_segment_60_90.wav",classical
0.27733177,[92.28515625],1467.322573910645,0.07666393551664087,-286.9008,124.9567,-6.5065064,30.849972,2.5995889,0.5018646,1.106255,7.7191973,1.5412059,3.7294703,-4.9680796,-3.4776936,-1.6406102,0.0026266822,"Antonio Vivaldi - 12 Violin Concertos, Op.8 'Il cimento dell'armonia e dell' invenzione'  Concerto No. 3 in F Major for solo violin, 'L'Autunno' - RV293- 1. Allegro_segment_90_120.wav",classical
0.30517396,[123.046875],1467.6028210591332,0.0630026424632353,-256.87015,127.769264,0.87977654,32.38672,1.3268095,3.485567,-4.0036364,3.0343523,-1.321677,2.4907358,-1.5415441,-0.84785825,-1.971474,0.0031507446,"Antonio Vivaldi - 12 Violin Concertos, Op.8 'Il cimento dell'armonia e dell' invenzione'  Concerto No. 3 in F Major for solo violin, 'L'Autunno' - RV293- 1. Allegro_segment_120_150.wav",classical
0.25677183,[107.66601562],1598.7101474455947,0.08676289183436532,-275.0789,119.70544,-7.0608463,34.536808,-1.6385899,0.19016753,-5.0237494,4.2617445,-0.8343761,3.32126,-5.1593714,-6.839924,-6.2690263,0.002638288,"Antonio Vivaldi - 12 Violin Concertos, Op.8 'Il cimento dell'armonia e dell' invenzione'  Concerto No. 3 in F Major for solo violin, 'L'Autunno' - RV293- 1. Allegro_segment_150_180.wav",classical
0.2634921,[117.45383523],1603.3035809651892,0.08246662151702787,-257.83835,114.43886,-13.741459,32.590744,0.0655262,2.9282305,2.3113549,6.824556,-0.5114072,5.2387123,-2.7838728,-2.4068244,-1.8275169,0.002523667,"Antonio Vivaldi - 12 Violin Concertos, Op.8 'Il cimento dell'armonia e dell' invenzione'  Concerto No. 3 in F Major for solo violin, 'L'Autunno' - RV293- 1. Allegro_segment_180_210.wav",classical
